year,week,id,team,opp,q1,q2,q3,final,spread,OU,imp_tot,ABCD,AABC,AABB,AAAB,AAAA
1979,1,197909010tam,det,tam,0,7,7,16,3.0,30.0,13.5,false,true,false,false,false
1979,1,197909010tam,tam,det,10,24,24,31,-3.0,30.0,16.5,false,true,false,false,false
1979,1,197909020buf,mia,buf,0,0,3,9,-5.0,39.0,22.0,false,true,false,false,false
1979,1,197909020buf,buf,mia,0,7,7,7,5.0,39.0,17.0,false,false,false,true,false
1979,1,197909020chi,gnb,chi,0,0,3,3,3.0,31.0,14.0,false,false,true,false,false
1979,1,197909020chi,chi,gnb,0,6,6,6,-3.0,31.0,17.0,false,false,false,true,false
1979,1,197909020crd,dal,crd,3,10,13,22,-4.0,37.0,20.5,false,true,false,false,false
1979,1,197909020crd,crd,dal,0,7,14,21,4.0,37.0,16.5,true,false,false,false,false
1979,1,197909020den,cin,den,0,0,0,0,3.0,31.5,14.25,false,false,false,false,true
1979,1,197909020den,den,cin,0,3,10,10,-3.0,31.5,17.25,false,false,false,true,false
1979,1,197909020kan,clt,kan,0,0,0,0,1.0,37.0,18.0,false,false,false,false,true
1979,1,197909020kan,kan,clt,0,7,7,14,-1.0,37.0,19.0,false,true,false,false,false
1979,1,197909020min,sfo,min,0,6,9,22,7.0,32.0,12.5,true,false,false,false,false
1979,1,197909020min,min,sfo,0,0,14,28,-7.0,32.0,19.5,false,true,false,false,false
1979,1,197909020nor,atl,nor,0,20,27,40,5.0,32.0,13.5,false,false,false,true,false
1979,1,197909020nor,nor,atl,7,28,31,34,-5.0,32.0,18.5,true,false,false,false,false
1979,1,197909020nyj,cle,nyj,7,10,19,25,2.0,41.0,19.5,true,false,false,false,false
1979,1,197909020nyj,nyj,cle,3,10,13,22,-2.0,41.0,21.5,false,true,false,false,false
1979,1,197909020phi,nyg,phi,3,3,10,17,7.0,31.5,12.25,false,true,false,false,false
1979,1,197909020phi,phi,nyg,0,23,23,23,-7.0,31.5,19.25,false,false,false,true,false
1979,1,197909020ram,rai,ram,0,10,24,24,4.0,36.5,16.25,false,false,true,false,false
1979,1,197909020ram,ram,rai,7,17,17,17,-4.0,36.5,20.25,false,false,false,false,true
1979,1,197909020sea,sdg,sea,0,13,23,33,2.0,42.5,20.25,false,false,false,true,false
