year,week,day,team,opp,q1,q2,q3,final
1979,1,0901,det,tam,0,7,0,16
1979,1,0901,tam,det,10,14,0,31
1979,1,0902,mia,buf,0,0,3,9
1979,1,0902,buf,mia,0,7,0,7
1979,1,0902,oti,was,6,0,7,29
1979,1,0902,was,oti,0,17,7,27
1979,1,0902,nyg,phi,3,0,7,17
1979,1,0902,phi,nyg,0,23,0,23
1979,1,0902,sfo,min,0,6,3,22
1979,1,0902,min,sfo,0,0,14,28
1979,1,0902,gnb,chi,0,0,3,3
1979,1,0902,chi,gnb,0,6,0,6
1979,1,0902,atl,nor,0,20,7,40
1979,1,0902,nor,atl,7,21,3,34
1979,1,0902,dal,crd,3,7,3,22
1979,1,0902,crd,dal,0,7,7,21
1979,1,0902,sdg,sea,0,13,10,33
1979,1,0902,sea,sdg,3,7,0,16
1979,1,0902,rai,ram,0,10,14,24
1979,1,0902,ram,rai,7,10,0,17
1979,1,0902,cle,nyj,7,3,9,25
1979,1,0902,nyj,cle,3,7,3,22
1979,1,0902,clt,kan,0,0,0,0
1979,1,0902,kan,clt,0,7,0,14
1979,1,0902,cin,den,0,0,0,0
1979,1,0902,den,cin,0,3,7,10
1979,1,0903,pit,nwe,0,6,0,16
1979,1,0903,nwe,pit,7,6,0,13
1979,2,0906,ram,den,6,0,0,13
1979,2,0906,den,ram,0,2,7,9
1979,2,0909,min,chi,0,7,0,7
1979,2,0909,chi,min,0,10,9,26
1979,2,0909,cin,buf,0,10,7,24
1979,2,0909,buf,cin,0,10,21,51
1979,2,0909,oti,pit,0,0,0,7
1979,2,0909,pit,oti,7,3,14,38
1979,2,0909,crd,nyg,0,14,13,27
1979,2,0909,nyg,crd,14,0,0,14
1979,2,0909,nor,gnb,3,9,0,19
1979,2,0909,gnb,nor,0,0,21,28
1979,2,0909,was,det,0,17,7,27
1979,2,0909,det,was,3,0,0,24
1979,2,0909,tam,clt,0,13,0,29
1979,2,0909,clt,tam,17,0,0,26
1979,2,0909,dal,sfo,3,3,7,21
1979,2,0909,sfo,dal,3,7,0,13
1979,2,0909,rai,sdg,0,3,7,10
1979,2,0909,sdg,rai,14,7,2,30
1979,2,0909,nyj,nwe,3,0,0,3
1979,2,0909,nwe,nyj,14,21,7,56
1979,2,0909,sea,mia,0,3,7,10
1979,2,0909,mia,sea,0,9,3,19
1979,2,0909,cle,kan,10,7,3,27
1979,2,0909,kan,cle,0,0,7,24
1979,2,0910,atl,phi,0,7,0,14
1979,2,0910,phi,atl,3,7,0,10
1979,3,0916,clt,cle,10,0,0,10
1979,3,0916,cle,clt,0,3,7,13
1979,3,0916,nwe,cin,0,7,7,20
1979,3,0916,cin,nwe,0,0,7,14
1979,3,0916,den,atl,7,3,7,20
1979,3,0916,atl,den,0,10,0,17
1979,3,0916,det,nyj,0,7,0,10
1979,3,0916,nyj,det,0,14,3,31
1979,3,0916,phi,nor,3,10,3,26
1979,3,0916,nor,phi,0,7,0,14
1979,3,0916,kan,oti,0,6,0,6
1979,3,0916,oti,kan,7,10,0,20
1979,3,0916,mia,min,0,7,0,27
1979,3,0916,min,mia,3,6,3,12
1979,3,0916,tam,gnb,0,7,14,21
1979,3,0916,gnb,tam,3,0,0,10
1979,3,0916,rai,sea,0,0,7,10
1979,3,0916,sea,rai,7,3,10,27
